start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2016,5,31,0,0,0,2016,5,31,0,5,0,561.2,97538.14
2016,5,31,0,5,0,2016,5,31,0,10,0,462.35,84982.56
2016,5,31,0,10,0,2016,5,31,0,15,0,462.32,84017.7
2016,5,31,0,15,0,2016,5,31,0,20,0,502.19,88388.25
2016,5,31,0,20,0,2016,5,31,0,25,0,459.34,85982.82
2016,5,31,0,25,0,2016,5,31,0,30,0,370.95,75513.91
2016,5,31,0,30,0,2016,5,31,0,35,0,323.82,69464.46
2016,5,31,0,35,0,2016,5,31,0,40,0,410.82,80608.54
2016,5,31,0,40,0,2016,5,31,0,45,0,395.73,78252.65
2016,5,31,0,45,0,2016,5,31,0,50,0,332.46,71604.61
2016,5,31,0,50,0,2016,5,31,0,55,0,318.17,69660.78
2016,5,31,0,55,0,2016,5,31,1,0,0,305.41,72682.3
2016,5,31,1,0,0,2016,5,31,1,5,0,345.62,76612.78
2016,5,31,1,5,0,2016,5,31,1,10,0,260.74,63952.05
2016,5,31,1,10,0,2016,5,31,1,15,0,286.11,67288.34
2016,5,31,1,15,0,2016,5,31,1,20,0,235.52,59743.19
2016,5,31,1,20,0,2016,5,31,1,25,0,181.04,54120.89
2016,5,31,1,25,0,2016,5,31,1,30,0,181.58,52606.35
2016,5,31,1,30,0,2016,5,31,1,35,0,181.64,54015.47
2016,5,31,1,35,0,2016,5,31,1,40,0,277.63,64299.75
2016,5,31,1,40,0,2016,5,31,1,45,0,280.05,62480.79
2016,5,31,1,45,0,2016,5,31,1,50,0,258.11,61110.53
2016,5,31,1,50,0,2016,5,31,1,55,0,207.14,56762.62
2016,5,31,1,55,0,2016,5,31,2,0,0,237.67,57720.3
2016,5,31,2,0,0,2016,5,31,2,5,0,397.23,78694.93
2016,5,31,2,5,0,2016,5,31,2,10,0,184.41,53639.58
2016,5,31,2,10,0,2016,5,31,2,15,0,171.11,52598.7
2016,5,31,2,15,0,2016,5,31,2,20,0,154.2,49197.01
2016,5,31,2,20,0,2016,5,31,2,25,0,202.29,55767.97
2016,5,31,2,25,0,2016,5,31,2,30,0,164.83,54302.74
2016,5,31,2,30,0,2016,5,31,2,35,0,220.19,58719.56
2016,5,31,2,35,0,2016,5,31,2,40,0,258.56,65020.82
2016,5,31,2,40,0,2016,5,31,2,45,0,281.14,71010.28
2016,5,31,2,45,0,2016,5,31,2,50,0,203.83,59872.06
2016,5,31,2,50,0,2016,5,31,2,55,0,213.76,59064.18
2016,5,31,2,55,0,2016,5,31,3,0,0,240.94,60923.28
2016,5,31,3,0,0,2016,5,31,3,5,0,289.86,66786.96
2016,5,31,3,5,0,2016,5,31,3,10,0,265.42,62492.9
2016,5,31,3,10,0,2016,5,31,3,15,0,252.77,59279.25
2016,5,31,3,15,0,2016,5,31,3,20,0,325.82,67049.63
2016,5,31,3,20,0,2016,5,31,3,25,0,334.42,66690.09
2016,5,31,3,25,0,2016,5,31,3,30,0,305.4,62796.27
2016,5,31,3,30,0,2016,5,31,3,35,0,363.21,72144.03
2016,5,31,3,35,0,2016,5,31,3,40,0,374.06,70903.71
2016,5,31,3,40,0,2016,5,31,3,45,0,347.46,67743.19
2016,5,31,3,45,0,2016,5,31,3,50,0,364.76,71692.04
2016,5,31,3,50,0,2016,5,31,3,55,0,387.64,73250.66
2016,5,31,3,55,0,2016,5,31,4,0,0,343.42,66985.22
2016,5,31,4,0,0,2016,5,31,4,5,0,268.94,64379.92
2016,5,31,4,5,0,2016,5,31,4,10,0,227.44,57864.0
2016,5,31,4,10,0,2016,5,31,4,15,0,289.43,61747.94
2016,5,31,4,15,0,2016,5,31,4,20,0,254.97,61520.05
2016,5,31,4,20,0,2016,5,31,4,25,0,182.45,52736.1
2016,5,31,4,25,0,2016,5,31,4,30,0,192.05,54318.82
2016,5,31,4,30,0,2016,5,31,4,35,0,256.48,60095.22
2016,5,31,4,35,0,2016,5,31,4,40,0,313.49,64346.69
2016,5,31,4,40,0,2016,5,31,4,45,0,283.94,62634.63
2016,5,31,4,45,0,2016,5,31,4,50,0,295.65,61383.56
2016,5,31,4,50,0,2016,5,31,4,55,0,316.53,63014.81
2016,5,31,4,55,0,2016,5,31,5,0,0,315.36,62056.58
