start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2013,4,27,0,4,44,2013,4,27,0,9,44,142.17,43758.29
2013,4,27,0,9,44,2013,4,27,0,14,44,170.0,46003.62
2013,4,27,0,14,44,2013,4,27,0,19,44,181.65,46605.16
2013,4,27,0,19,44,2013,4,27,0,24,44,161.06,45866.12
2013,4,27,0,24,44,2013,4,27,0,29,44,153.84,44724.8
2013,4,27,0,29,44,2013,4,27,0,34,44,170.43,46902.81
2013,4,27,0,34,44,2013,4,27,0,39,44,163.0,46145.92
2013,4,27,0,39,44,2013,4,27,0,44,44,164.04,46742.24
2013,4,27,0,44,44,2013,4,27,0,49,44,174.09,47108.13
2013,4,27,0,49,44,2013,4,27,0,54,44,190.52,49555.27
2013,4,27,0,54,44,2013,4,27,0,59,44,179.06,46658.49
2013,4,27,0,59,44,2013,4,27,1,4,44,173.93,45860.41
2013,4,27,1,4,44,2013,4,27,1,9,44,169.59,45756.74
2013,4,27,1,9,44,2013,4,27,1,14,44,165.31,44801.44
2013,4,27,1,14,44,2013,4,27,1,19,44,183.09,46978.19
2013,4,27,1,19,44,2013,4,27,1,24,44,266.33,55384.33
2013,4,27,1,24,44,2013,4,27,1,29,44,238.49,53494.26
2013,4,27,1,29,44,2013,4,27,1,34,44,234.52,48625.05
2013,4,27,1,34,44,2013,4,27,1,39,44,241.34,41208.37
2013,4,27,1,39,44,2013,4,27,1,44,44,191.61,31090.96
2013,4,27,1,44,44,2013,4,27,1,49,44,243.19,42679.38
2013,4,27,1,49,44,2013,4,27,1,54,44,214.29,43768.24
2013,4,27,1,54,44,2013,4,27,1,59,44,197.78,40997.01
2013,4,27,1,59,44,2013,4,27,2,4,44,192.48,43453.02
2013,4,27,2,4,44,2013,4,27,2,9,44,177.24,43721.4
2013,4,27,2,9,44,2013,4,27,2,14,44,135.71,39681.41
2013,4,27,2,14,44,2013,4,27,2,19,44,139.85,40752.47
2013,4,27,2,19,44,2013,4,27,2,24,44,137.49,41060.46
2013,4,27,2,24,44,2013,4,27,2,29,44,121.76,39933.05
2013,4,27,2,29,44,2013,4,27,2,34,44,117.09,39292.03
2013,4,27,2,34,44,2013,4,27,2,39,44,142.23,43741.78
2013,4,27,2,39,44,2013,4,27,2,44,44,105.32,38834.28
2013,4,27,2,44,44,2013,4,27,2,49,44,105.23,38367.86
2013,4,27,2,49,44,2013,4,27,2,54,44,113.92,38513.45
2013,4,27,2,54,44,2013,4,27,2,59,44,92.15,35952.25
2013,4,27,2,59,44,2013,4,27,3,4,44,121.59,40480.26
