start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2014,2,6,0,0,0,2014,2,6,0,5,0,509.17,136166.4
2014,2,6,0,5,0,2014,2,6,0,10,0,433.47,131213.17
2014,2,6,0,10,0,2014,2,6,0,15,0,343.1,116927.29
2014,2,6,0,15,0,2014,2,6,0,20,0,329.47,113953.62
2014,2,6,0,20,0,2014,2,6,0,25,0,376.77,119488.6
2014,2,6,0,25,0,2014,2,6,0,30,0,362.94,118747.84
2014,2,6,0,30,0,2014,2,6,0,35,0,349.44,115333.41
2014,2,6,0,35,0,2014,2,6,0,40,0,398.95,122993.36
2014,2,6,0,40,0,2014,2,6,0,45,0,406.64,120995.61
2014,2,6,0,45,0,2014,2,6,0,50,0,364.85,110896.53
2014,2,6,0,50,0,2014,2,6,0,55,0,367.81,112079.96
2014,2,6,0,55,0,2014,2,6,1,0,0,402.64,113190.38
2014,2,6,1,0,0,2014,2,6,1,5,0,442.97,130615.52
2014,2,6,1,5,0,2014,2,6,1,10,0,385.84,110096.59
2014,2,6,1,10,0,2014,2,6,1,15,0,353.33,107938.37
2014,2,6,1,15,0,2014,2,6,1,20,0,399.64,109316.53
2014,2,6,1,20,0,2014,2,6,1,25,0,414.59,109910.47
2014,2,6,1,25,0,2014,2,6,1,30,0,429.37,111753.97
2014,2,6,1,30,0,2014,2,6,1,35,0,395.85,108297.37
2014,2,6,1,35,0,2014,2,6,1,40,0,368.63,104638.71
2014,2,6,1,40,0,2014,2,6,1,45,0,353.71,103399.83
2014,2,6,1,45,0,2014,2,6,1,50,0,384.28,110155.26
2014,2,6,1,50,0,2014,2,6,1,55,0,378.55,96560.52
2014,2,6,1,55,0,2014,2,6,2,0,0,386.51,106109.91
2014,2,6,2,0,0,2014,2,6,2,5,0,358.87,104129.78
2014,2,6,2,5,0,2014,2,6,2,10,0,338.43,100605.62
2014,2,6,2,10,0,2014,2,6,2,15,0,343.22,104066.89
2014,2,6,2,15,0,2014,2,6,2,20,0,343.95,100778.27
2014,2,6,2,20,0,2014,2,6,2,25,0,314.42,96839.61
2014,2,6,2,25,0,2014,2,6,2,30,0,331.75,99892.16
2014,2,6,2,30,0,2014,2,6,2,35,0,378.5,100996.5
2014,2,6,2,35,0,2014,2,6,2,40,0,345.89,95935.23
2014,2,6,2,40,0,2014,2,6,2,45,0,302.73,91513.53
2014,2,6,2,45,0,2014,2,6,2,50,0,303.24,93257.16
2014,2,6,2,50,0,2014,2,6,2,55,0,260.56,86571.15
2014,2,6,2,55,0,2014,2,6,3,0,0,300.98,89718.52
2014,2,6,3,0,0,2014,2,6,3,5,0,270.09,89594.19
2014,2,6,3,5,0,2014,2,6,3,10,0,252.43,86882.26
2014,2,6,3,10,0,2014,2,6,3,15,0,242.2,84031.54
2014,2,6,3,15,0,2014,2,6,3,20,0,275.43,86014.19
2014,2,6,3,20,0,2014,2,6,3,25,0,273.26,85951.38
2014,2,6,3,25,0,2014,2,6,3,30,0,277.75,91005.32
2014,2,6,3,30,0,2014,2,6,3,35,0,255.54,87557.55
2014,2,6,3,35,0,2014,2,6,3,40,0,229.95,84198.47
2014,2,6,3,40,0,2014,2,6,3,45,0,223.92,83111.69
2014,2,6,3,45,0,2014,2,6,3,50,0,228.51,84376.55
2014,2,6,3,50,0,2014,2,6,3,55,0,217.14,81615.68
2014,2,6,3,55,0,2014,2,6,4,0,0,240.07,79463.0
2014,2,6,4,0,0,2014,2,6,4,5,0,253.61,82231.79
2014,2,6,4,5,0,2014,2,6,4,10,0,251.58,81246.26
2014,2,6,4,10,0,2014,2,6,4,15,0,240.08,78819.19
2014,2,6,4,15,0,2014,2,6,4,20,0,245.2,80361.39
2014,2,6,4,20,0,2014,2,6,4,25,0,300.42,87349.02
2014,2,6,4,25,0,2014,2,6,4,30,0,277.32,84202.55
2014,2,6,4,30,0,2014,2,6,4,35,0,235.62,80607.24
2014,2,6,4,35,0,2014,2,6,4,40,0,215.01,81312.67
2014,2,6,4,40,0,2014,2,6,4,45,0,213.48,77131.9
2014,2,6,4,45,0,2014,2,6,4,50,0,217.25,77638.32
2014,2,6,4,50,0,2014,2,6,4,55,0,213.5,75710.12
2014,2,6,4,55,0,2014,2,6,5,0,0,233.76,74727.09
2014,2,6,5,0,0,2014,2,6,5,5,0,222.9,76156.4
2014,2,6,5,5,0,2014,2,6,5,10,0,211.93,73466.13
2014,2,6,5,10,0,2014,2,6,5,15,0,182.08,68775.81
2014,2,6,5,15,0,2014,2,6,5,20,0,205.55,70703.68
2014,2,6,5,20,0,2014,2,6,5,25,0,209.43,72821.41
2014,2,6,5,25,0,2014,2,6,5,30,0,197.97,73625.81
2014,2,6,5,30,0,2014,2,6,5,35,0,192.17,73577.7
2014,2,6,5,35,0,2014,2,6,5,40,0,190.49,72415.07
2014,2,6,5,40,0,2014,2,6,5,45,0,206.44,75671.06
2014,2,6,5,45,0,2014,2,6,5,50,0,216.69,76505.09
2014,2,6,5,50,0,2014,2,6,5,55,0,216.07,75613.76
2014,2,6,5,55,0,2014,2,6,6,0,0,225.23,73587.62
2014,2,6,6,0,0,2014,2,6,6,5,0,227.6,73848.73
2014,2,6,6,5,0,2014,2,6,6,10,0,252.56,76533.33
2014,2,6,6,10,0,2014,2,6,6,15,0,229.25,71692.22
2014,2,6,6,15,0,2014,2,6,6,20,0,218.62,70983.18
2014,2,6,6,20,0,2014,2,6,6,25,0,228.14,73820.25
2014,2,6,6,25,0,2014,2,6,6,30,0,239.71,72713.59
2014,2,6,6,30,0,2014,2,6,6,35,0,255.41,73979.19
2014,2,6,6,35,0,2014,2,6,6,40,0,284.71,78859.23
2014,2,6,6,40,0,2014,2,6,6,45,0,241.21,73854.76
2014,2,6,6,45,0,2014,2,6,6,50,0,218.06,73710.55
2014,2,6,6,50,0,2014,2,6,6,55,0,239.51,78238.32
2014,2,6,6,55,0,2014,2,6,7,0,0,207.67,74250.06
2014,2,6,7,0,0,2014,2,6,7,5,0,229.54,76141.47
2014,2,6,7,5,0,2014,2,6,7,10,0,214.02,74761.3
2014,2,6,7,10,0,2014,2,6,7,15,0,215.02,73583.85
2014,2,6,7,15,0,2014,2,6,7,20,0,230.46,76171.51
2014,2,6,7,20,0,2014,2,6,7,25,0,221.53,64067.24
2014,2,6,7,25,0,2014,2,6,7,30,0,231.45,76602.67
2014,2,6,7,30,0,2014,2,6,7,35,0,232.7,75780.56
2014,2,6,7,35,0,2014,2,6,7,40,0,202.62,69130.21
2014,2,6,7,40,0,2014,2,6,7,45,0,227.35,71247.96
2014,2,6,7,45,0,2014,2,6,7,50,0,229.75,70685.32
2014,2,6,7,50,0,2014,2,6,7,55,0,219.91,71723.42
2014,2,6,7,55,0,2014,2,6,8,0,0,228.33,71542.7
2014,2,6,8,0,0,2014,2,6,8,5,0,284.06,76050.62
2014,2,6,8,5,0,2014,2,6,8,10,0,226.41,69633.51
2014,2,6,8,10,0,2014,2,6,8,15,0,201.5,69113.96
2014,2,6,8,15,0,2014,2,6,8,20,0,236.51,74319.38
2014,2,6,8,20,0,2014,2,6,8,25,0,222.35,73228.84
2014,2,6,8,25,0,2014,2,6,8,30,0,219.86,74770.22
2014,2,6,8,30,0,2014,2,6,8,35,0,206.23,73431.84
2014,2,6,8,35,0,2014,2,6,8,40,0,210.98,71644.84
2014,2,6,8,40,0,2014,2,6,8,45,0,211.87,71787.72
2014,2,6,8,45,0,2014,2,6,8,50,0,207.2,73233.16
2014,2,6,8,50,0,2014,2,6,8,55,0,237.0,77249.43
2014,2,6,8,55,0,2014,2,6,9,0,0,233.87,76567.47
2014,2,6,9,0,0,2014,2,6,9,5,0,235.01,80542.9
2014,2,6,9,5,0,2014,2,6,9,10,0,291.48,85897.43
2014,2,6,9,10,0,2014,2,6,9,15,0,265.62,78563.21
2014,2,6,9,15,0,2014,2,6,9,20,0,311.51,90044.7
2014,2,6,9,20,0,2014,2,6,9,25,0,293.18,91506.82
2014,2,6,9,25,0,2014,2,6,9,30,0,268.32,85945.01
2014,2,6,9,30,0,2014,2,6,9,35,0,295.58,91404.4
