start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2016,6,14,0,0,0,2016,6,14,0,5,0,443.36,91995.11
2016,6,14,0,5,0,2016,6,14,0,10,0,327.03,75318.81
2016,6,14,0,10,0,2016,6,14,0,15,0,296.83,72127.57
2016,6,14,0,15,0,2016,6,14,0,20,0,283.67,73079.41
2016,6,14,0,20,0,2016,6,14,0,25,0,256.89,73380.28
2016,6,14,0,25,0,2016,6,14,0,30,0,290.23,74515.13
2016,6,14,0,30,0,2016,6,14,0,35,0,319.45,79196.19
2016,6,14,0,35,0,2016,6,14,0,40,0,205.92,59597.55
2016,6,14,0,40,0,2016,6,14,0,45,0,242.75,65897.85
2016,6,14,0,45,0,2016,6,14,0,50,0,231.49,63986.63
2016,6,14,0,50,0,2016,6,14,0,55,0,209.28,64922.64
2016,6,14,0,55,0,2016,6,14,1,0,0,241.07,66891.8
2016,6,14,1,0,0,2016,6,14,1,5,0,245.58,69976.48
2016,6,14,1,5,0,2016,6,14,1,10,0,238.21,69428.43
2016,6,14,1,10,0,2016,6,14,1,15,0,242.72,73325.31
2016,6,14,1,15,0,2016,6,14,1,20,0,278.99,76558.47
2016,6,14,1,20,0,2016,6,14,1,25,0,240.13,71579.62
2016,6,14,1,25,0,2016,6,14,1,30,0,277.83,75930.79
2016,6,14,1,30,0,2016,6,14,1,35,0,239.66,70943.01
2016,6,14,1,35,0,2016,6,14,1,40,0,265.48,71769.66
2016,6,14,1,40,0,2016,6,14,1,45,0,327.94,75492.81
2016,6,14,1,45,0,2016,6,14,1,50,0,274.11,69106.04
2016,6,14,1,50,0,2016,6,14,1,55,0,275.58,70919.59
2016,6,14,1,55,0,2016,6,14,2,0,0,210.59,63163.55
2016,6,14,2,0,0,2016,6,14,2,5,0,330.61,81924.64
2016,6,14,2,5,0,2016,6,14,2,10,0,299.27,75924.68
2016,6,14,2,10,0,2016,6,14,2,15,0,204.46,61787.55
2016,6,14,2,15,0,2016,6,14,2,20,0,213.65,61688.47
2016,6,14,2,20,0,2016,6,14,2,25,0,278.84,68019.76
2016,6,14,2,25,0,2016,6,14,2,30,0,231.21,64792.23
2016,6,14,2,30,0,2016,6,14,2,35,0,200.59,61640.11
2016,6,14,2,35,0,2016,6,14,2,40,0,198.61,60921.04
2016,6,14,2,40,0,2016,6,14,2,45,0,183.96,59324.25
2016,6,14,2,45,0,2016,6,14,2,50,0,199.41,63354.98
2016,6,14,2,50,0,2016,6,14,2,55,0,186.98,60945.42
2016,6,14,2,55,0,2016,6,14,3,0,0,171.57,59465.72
2016,6,14,3,0,0,2016,6,14,3,5,0,182.96,62888.23
2016,6,14,3,5,0,2016,6,14,3,10,0,189.58,61734.24
2016,6,14,3,10,0,2016,6,14,3,15,0,199.51,62695.63
2016,6,14,3,15,0,2016,6,14,3,20,0,196.73,63754.38
2016,6,14,3,20,0,2016,6,14,3,25,0,177.86,63243.49
2016,6,14,3,25,0,2016,6,14,3,30,0,205.08,63627.98
