start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2018,7,15,0,0,0,2018,7,15,0,5,0,369.04,75428.46
2018,7,15,0,5,0,2018,7,15,0,10,0,369.77,76092.69
2018,7,15,0,10,0,2018,7,15,0,15,0,402.38,80556.31
2018,7,15,0,15,0,2018,7,15,0,20,0,376.61,76580.55
2018,7,15,0,20,0,2018,7,15,0,25,0,396.5,77558.54
2018,7,15,0,25,0,2018,7,15,0,30,0,405.99,79173.01
2018,7,15,0,30,0,2018,7,15,0,35,0,391.63,79678.86
2018,7,15,0,35,0,2018,7,15,0,40,0,357.23,75649.49
2018,7,15,0,40,0,2018,7,15,0,45,0,463.06,87738.93
2018,7,15,0,45,0,2018,7,15,0,50,0,368.88,76926.0
2018,7,15,0,50,0,2018,7,15,0,55,0,343.68,72835.84
2018,7,15,0,55,0,2018,7,15,1,0,0,316.33,72256.86
2018,7,15,1,0,0,2018,7,15,1,5,0,357.47,76467.6
2018,7,15,1,5,0,2018,7,15,1,10,0,397.25,82570.92
2018,7,15,1,10,0,2018,7,15,1,15,0,463.82,87085.07
2018,7,15,1,15,0,2018,7,15,1,20,0,520.31,92260.73
2018,7,15,1,20,0,2018,7,15,1,25,0,379.89,76552.37
2018,7,15,1,25,0,2018,7,15,1,30,0,470.93,85238.39
2018,7,15,1,30,0,2018,7,15,1,35,0,362.73,77584.04
2018,7,15,1,35,0,2018,7,15,1,40,0,338.43,72811.95
2018,7,15,1,40,0,2018,7,15,1,45,0,404.72,79357.16
2018,7,15,1,45,0,2018,7,15,1,50,0,354.99,75285.71
2018,7,15,1,50,0,2018,7,15,1,55,0,413.59,78601.95
2018,7,15,1,55,0,2018,7,15,2,0,0,301.42,70544.67
2018,7,15,2,0,0,2018,7,15,2,5,0,270.39,67310.27
2018,7,15,2,5,0,2018,7,15,2,10,0,301.74,69666.42
2018,7,15,2,10,0,2018,7,15,2,15,0,307.55,69593.47
2018,7,15,2,15,0,2018,7,15,2,20,0,302.91,68891.12
2018,7,15,2,20,0,2018,7,15,2,25,0,277.93,66242.7
2018,7,15,2,25,0,2018,7,15,2,30,0,264.13,66028.85
2018,7,15,2,30,0,2018,7,15,2,35,0,280.58,66672.33
2018,7,15,2,35,0,2018,7,15,2,40,0,305.22,67650.54
2018,7,15,2,40,0,2018,7,15,2,45,0,272.34,64719.35
2018,7,15,2,45,0,2018,7,15,2,50,0,282.76,67182.17
2018,7,15,2,50,0,2018,7,15,2,55,0,230.6,62778.26
2018,7,15,2,55,0,2018,7,15,3,0,0,248.48,63086.05
2018,7,15,3,0,0,2018,7,15,3,5,0,245.44,64612.6
2018,7,15,3,5,0,2018,7,15,3,10,0,222.97,61089.77
2018,7,15,3,10,0,2018,7,15,3,15,0,252.34,65587.42
2018,7,15,3,15,0,2018,7,15,3,20,0,292.75,66703.88
2018,7,15,3,20,0,2018,7,15,3,25,0,238.01,60993.81
2018,7,15,3,25,0,2018,7,15,3,30,0,272.68,65202.29
2018,7,15,3,30,0,2018,7,15,3,35,0,222.01,62480.19
2018,7,15,3,35,0,2018,7,15,3,40,0,208.11,60084.94
2018,7,15,3,40,0,2018,7,15,3,45,0,242.92,64969.79
2018,7,15,3,45,0,2018,7,15,3,50,0,264.35,64881.08
2018,7,15,3,50,0,2018,7,15,3,55,0,208.09,59563.16
2018,7,15,3,55,0,2018,7,15,4,0,0,385.06,77510.9
2018,7,15,4,0,0,2018,7,15,4,5,0,196.86,61340.23
2018,7,15,4,5,0,2018,7,15,4,10,0,247.07,62876.45
2018,7,15,4,10,0,2018,7,15,4,15,0,170.88,55323.91
2018,7,15,4,15,0,2018,7,15,4,20,0,140.06,51810.01
2018,7,15,4,20,0,2018,7,15,4,25,0,175.53,54821.84
2018,7,15,4,25,0,2018,7,15,4,30,0,135.25,54621.7
2018,7,15,4,30,0,2018,7,15,4,35,0,174.91,55820.57
2018,7,15,4,35,0,2018,7,15,4,40,0,146.29,54323.57
2018,7,15,4,40,0,2018,7,15,4,45,0,183.75,57928.17
2018,7,15,4,45,0,2018,7,15,4,50,0,125.31,52042.56
2018,7,15,4,50,0,2018,7,15,4,55,0,182.08,55042.07
2018,7,15,4,55,0,2018,7,15,5,0,0,132.4,49432.52
2018,7,15,5,0,0,2018,7,15,5,5,0,148.14,52049.88
2018,7,15,5,5,0,2018,7,15,5,10,0,170.74,53888.89
2018,7,15,5,10,0,2018,7,15,5,15,0,145.08,50307.28
2018,7,15,5,15,0,2018,7,15,5,20,0,137.04,49630.37
2018,7,15,5,20,0,2018,7,15,5,25,0,119.96,48132.22
2018,7,15,5,25,0,2018,7,15,5,30,0,165.42,52925.81
2018,7,15,5,30,0,2018,7,15,5,35,0,142.0,50040.65
2018,7,15,5,35,0,2018,7,15,5,40,0,187.73,53195.92
2018,7,15,5,40,0,2018,7,15,5,45,0,185.06,55074.1
2018,7,15,5,45,0,2018,7,15,5,50,0,193.08,57904.72
2018,7,15,5,50,0,2018,7,15,5,55,0,126.64,47517.15
2018,7,15,5,55,0,2018,7,15,6,0,0,141.55,49740.37
2018,7,15,6,0,0,2018,7,15,6,5,0,135.56,49282.62
2018,7,15,6,5,0,2018,7,15,6,10,0,214.14,58476.75
2018,7,15,6,10,0,2018,7,15,6,15,0,183.73,54816.34
2018,7,15,6,15,0,2018,7,15,6,20,0,161.45,52095.72
2018,7,15,6,20,0,2018,7,15,6,25,0,146.8,51755.82
2018,7,15,6,25,0,2018,7,15,6,30,0,151.83,51637.22
2018,7,15,6,30,0,2018,7,15,6,35,0,157.47,52825.68
2018,7,15,6,35,0,2018,7,15,6,40,0,159.09,53760.64
2018,7,15,6,40,0,2018,7,15,6,45,0,151.09,51342.59
2018,7,15,6,45,0,2018,7,15,6,50,0,152.69,50059.06
2018,7,15,6,50,0,2018,7,15,6,55,0,147.02,49164.72
2018,7,15,6,55,0,2018,7,15,7,0,0,141.84,50849.01
2018,7,15,7,0,0,2018,7,15,7,5,0,164.7,54567.38
2018,7,15,7,5,0,2018,7,15,7,10,0,157.14,51375.9
2018,7,15,7,10,0,2018,7,15,7,15,0,143.95,50405.52
2018,7,15,7,15,0,2018,7,15,7,20,0,154.58,52286.67
2018,7,15,7,20,0,2018,7,15,7,25,0,189.1,55971.43
2018,7,15,7,25,0,2018,7,15,7,30,0,147.42,50927.47
2018,7,15,7,30,0,2018,7,15,7,35,0,155.76,51212.95
2018,7,15,7,35,0,2018,7,15,7,40,0,204.05,57009.39
2018,7,15,7,40,0,2018,7,15,7,45,0,203.75,56911.57
2018,7,15,7,45,0,2018,7,15,7,50,0,192.82,54310.09
2018,7,15,7,50,0,2018,7,15,7,55,0,223.83,55840.74
2018,7,15,7,55,0,2018,7,15,8,0,0,193.25,53853.41
2018,7,15,8,0,0,2018,7,15,8,5,0,164.52,52447.5
2018,7,15,8,5,0,2018,7,15,8,10,0,186.32,53747.32
2018,7,15,8,10,0,2018,7,15,8,15,0,192.6,55176.44
2018,7,15,8,15,0,2018,7,15,8,20,0,191.75,56947.64
2018,7,15,8,20,0,2018,7,15,8,25,0,222.79,59006.2
2018,7,15,8,25,0,2018,7,15,8,30,0,194.8,56426.8
2018,7,15,8,30,0,2018,7,15,8,35,0,196.02,55838.57
2018,7,15,8,35,0,2018,7,15,8,40,0,236.74,60167.83
2018,7,15,8,40,0,2018,7,15,8,45,0,210.8,60448.39
2018,7,15,8,45,0,2018,7,15,8,50,0,229.56,59578.95
2018,7,15,8,50,0,2018,7,15,8,55,0,220.98,61620.86
2018,7,15,8,55,0,2018,7,15,9,0,0,263.29,61468.99
2018,7,15,9,0,0,2018,7,15,9,5,0,263.92,64619.91
2018,7,15,9,5,0,2018,7,15,9,10,0,315.78,67749.45
2018,7,15,9,10,0,2018,7,15,9,15,0,293.49,64823.4
2018,7,15,9,15,0,2018,7,15,9,20,0,317.17,69048.04
2018,7,15,9,20,0,2018,7,15,9,25,0,286.1,67681.55
2018,7,15,9,25,0,2018,7,15,9,30,0,231.16,60263.57
2018,7,15,9,30,0,2018,7,15,9,35,0,256.79,62142.63
2018,7,15,9,35,0,2018,7,15,9,40,0,318.05,67570.19
2018,7,15,9,40,0,2018,7,15,9,45,0,258.02,65701.64
2018,7,15,9,45,0,2018,7,15,9,50,0,240.84,59041.05
2018,7,15,9,50,0,2018,7,15,9,55,0,278.43,61847.26
2018,7,15,9,55,0,2018,7,15,10,0,0,248.01,60798.14
2018,7,15,10,0,0,2018,7,15,10,5,0,313.63,67696.64
2018,7,15,10,5,0,2018,7,15,10,10,0,292.74,64903.68
2018,7,15,10,10,0,2018,7,15,10,15,0,286.63,63901.9
2018,7,15,10,15,0,2018,7,15,10,20,0,288.91,62944.9
2018,7,15,10,20,0,2018,7,15,10,25,0,308.92,64973.38
2018,7,15,10,25,0,2018,7,15,10,30,0,286.55,63133.83
2018,7,15,10,30,0,2018,7,15,10,35,0,304.64,66620.76
2018,7,15,10,35,0,2018,7,15,10,40,0,281.97,63612.86
2018,7,15,10,40,0,2018,7,15,10,45,0,266.69,63380.04
2018,7,15,10,45,0,2018,7,15,10,50,0,283.42,64919.8
2018,7,15,10,50,0,2018,7,15,10,55,0,244.21,58194.38
2018,7,15,10,55,0,2018,7,15,11,0,0,316.24,67420.94
2018,7,15,11,0,0,2018,7,15,11,5,0,258.19,61952.37
2018,7,15,11,5,0,2018,7,15,11,10,0,309.01,66245.34
2018,7,15,11,10,0,2018,7,15,11,15,0,259.62,63537.14
2018,7,15,11,15,0,2018,7,15,11,20,0,285.84,66149.67
2018,7,15,11,20,0,2018,7,15,11,25,0,268.11,61828.54
