start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2013,11,3,0,0,0,2013,11,3,0,5,0,225.37,55705.47
2013,11,3,0,5,0,2013,11,3,0,10,0,204.17,52087.82
2013,11,3,0,10,0,2013,11,3,0,15,0,193.83,51647.76
2013,11,3,0,15,0,2013,11,3,0,20,0,230.29,57454.9
2013,11,3,0,20,0,2013,11,3,0,25,0,265.81,59220.59
2013,11,3,0,25,0,2013,11,3,0,30,0,236.3,58172.76
2013,11,3,0,30,0,2013,11,3,0,35,0,227.54,55637.49
2013,11,3,0,35,0,2013,11,3,0,40,0,232.49,54797.47
2013,11,3,0,40,0,2013,11,3,0,45,0,226.72,58267.22
2013,11,3,0,45,0,2013,11,3,0,50,0,218.53,54553.62
2013,11,3,0,50,0,2013,11,3,0,55,0,204.92,53853.68
2013,11,3,0,55,0,2013,11,3,1,0,0,213.33,53160.29
2013,11,3,1,0,0,2013,11,3,1,5,0,210.31,49170.58
2013,11,3,1,5,0,2013,11,3,1,10,0,171.19,41489.58
2013,11,3,1,10,0,2013,11,3,1,15,0,158.48,45192.56
2013,11,3,1,15,0,2013,11,3,1,20,0,166.61,48160.8
2013,11,3,1,20,0,2013,11,3,1,25,0,167.94,50218.79
2013,11,3,1,25,0,2013,11,3,1,30,0,165.32,46916.94
2013,11,3,1,30,0,2013,11,3,1,35,0,167.18,47739.78
2013,11,3,1,35,0,2013,11,3,1,40,0,151.23,46160.84
2013,11,3,1,40,0,2013,11,3,1,45,0,146.57,44739.57
2013,11,3,1,45,0,2013,11,3,1,50,0,214.79,51113.63
2013,11,3,1,50,0,2013,11,3,1,55,0,201.49,46008.75
2013,11,3,1,55,0,2013,11,3,2,0,0,206.22,49682.88
2013,11,3,2,0,0,2013,11,3,2,5,0,217.81,53538.08
2013,11,3,2,5,0,2013,11,3,2,10,0,217.39,53335.54
2013,11,3,2,10,0,2013,11,3,2,15,0,220.05,54213.86
2013,11,3,2,15,0,2013,11,3,2,20,0,228.1,54628.5
2013,11,3,2,20,0,2013,11,3,2,25,0,236.81,56617.96
2013,11,3,2,25,0,2013,11,3,2,30,0,221.94,54892.55
2013,11,3,2,30,0,2013,11,3,2,35,0,233.45,56288.3
2013,11,3,2,35,0,2013,11,3,2,40,0,230.96,54906.84
2013,11,3,2,40,0,2013,11,3,2,45,0,223.46,56468.32
2013,11,3,2,45,0,2013,11,3,2,50,0,256.22,58003.56
2013,11,3,2,50,0,2013,11,3,2,55,0,201.06,52277.28
2013,11,3,2,55,0,2013,11,3,3,0,0,206.81,53442.44
2013,11,3,3,0,0,2013,11,3,3,5,0,217.34,54791.07
2013,11,3,3,5,0,2013,11,3,3,10,0,200.81,53592.81
2013,11,3,3,10,0,2013,11,3,3,15,0,198.35,52475.13
2013,11,3,3,15,0,2013,11,3,3,20,0,234.63,56636.65
2013,11,3,3,20,0,2013,11,3,3,25,0,212.86,54124.72
2013,11,3,3,25,0,2013,11,3,3,30,0,185.75,51413.7
2013,11,3,3,30,0,2013,11,3,3,35,0,132.38,44223.94
2013,11,3,3,35,0,2013,11,3,3,40,0,132.65,43553.59
2013,11,3,3,40,0,2013,11,3,3,45,0,160.05,46949.52
2013,11,3,3,45,0,2013,11,3,3,50,0,213.4,53466.17
