start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2016,10,19,0,0,0,2016,10,19,0,5,0,336.42,54752.15
2016,10,19,0,5,0,2016,10,19,0,10,0,362.94,53208.55
2016,10,19,0,10,0,2016,10,19,0,15,0,289.84,45520.99
2016,10,19,0,15,0,2016,10,19,0,20,0,279.61,43038.32
2016,10,19,0,20,0,2016,10,19,0,25,0,313.54,47782.9
2016,10,19,0,25,0,2016,10,19,0,30,0,239.05,40095.15
2016,10,19,0,30,0,2016,10,19,0,35,0,243.19,40214.77
2016,10,19,0,35,0,2016,10,19,0,40,0,235.93,38523.92
2016,10,19,0,40,0,2016,10,19,0,45,0,189.73,33797.02
2016,10,19,0,45,0,2016,10,19,0,50,0,223.17,38573.11
2016,10,19,0,50,0,2016,10,19,0,55,0,254.67,42991.5
2016,10,19,0,55,0,2016,10,19,1,0,0,226.15,39536.43
2016,10,19,1,0,0,2016,10,19,1,5,0,363.91,59001.84
2016,10,19,1,5,0,2016,10,19,1,10,0,262.11,43064.85
2016,10,19,1,10,0,2016,10,19,1,15,0,257.14,42022.34
2016,10,19,1,15,0,2016,10,19,1,20,0,339.52,51666.29
2016,10,19,1,20,0,2016,10,19,1,25,0,248.96,42016.52
2016,10,19,1,25,0,2016,10,19,1,30,0,313.19,50341.88
2016,10,19,1,30,0,2016,10,19,1,35,0,266.74,46383.51
2016,10,19,1,35,0,2016,10,19,1,40,0,291.78,48016.45
2016,10,19,1,40,0,2016,10,19,1,45,0,265.33,45100.22
2016,10,19,1,45,0,2016,10,19,1,50,0,245.26,39147.07
2016,10,19,1,50,0,2016,10,19,1,55,0,233.1,39471.37
2016,10,19,1,55,0,2016,10,19,2,0,0,253.49,39625.85
2016,10,19,2,0,0,2016,10,19,2,5,0,643.83,89215.38
2016,10,19,2,5,0,2016,10,19,2,10,0,579.97,80232.19
2016,10,19,2,10,0,2016,10,19,2,15,0,566.22,78478.96
2016,10,19,2,15,0,2016,10,19,2,20,0,364.44,55006.21
2016,10,19,2,20,0,2016,10,19,2,25,0,253.74,42195.24
2016,10,19,2,25,0,2016,10,19,2,30,0,232.87,39040.64
2016,10,19,2,30,0,2016,10,19,2,35,0,189.42,34611.66
2016,10,19,2,35,0,2016,10,19,2,40,0,220.59,35737.11
2016,10,19,2,40,0,2016,10,19,2,45,0,179.72,32623.98
2016,10,19,2,45,0,2016,10,19,2,50,0,167.03,30759.89
2016,10,19,2,50,0,2016,10,19,2,55,0,162.5,29120.19
2016,10,19,2,55,0,2016,10,19,3,0,0,218.19,35080.09
2016,10,19,3,0,0,2016,10,19,3,5,0,387.79,60396.0
2016,10,19,3,5,0,2016,10,19,3,10,0,173.87,30627.0
2016,10,19,3,10,0,2016,10,19,3,15,0,176.86,31308.4
2016,10,19,3,15,0,2016,10,19,3,20,0,172.29,30354.61
2016,10,19,3,20,0,2016,10,19,3,25,0,162.75,28791.13
2016,10,19,3,25,0,2016,10,19,3,30,0,165.85,29469.82
2016,10,19,3,30,0,2016,10,19,3,35,0,182.41,31264.55
2016,10,19,3,35,0,2016,10,19,3,40,0,205.14,33584.32
2016,10,19,3,40,0,2016,10,19,3,45,0,226.16,34440.14
2016,10,19,3,45,0,2016,10,19,3,50,0,223.7,32711.73
2016,10,19,3,50,0,2016,10,19,3,55,0,250.6,35011.26
2016,10,19,3,55,0,2016,10,19,3,59,30,170.33,27831.84
2016,10,19,4,10,0,2016,10,19,4,15,0,185.0,31184.52
2016,10,19,4,15,0,2016,10,19,4,20,0,113.21,22860.88
2016,10,19,4,20,0,2016,10,19,4,25,0,100.14,21149.72
2016,10,19,4,25,0,2016,10,19,4,30,0,125.43,23893.22
2016,10,19,4,30,0,2016,10,19,4,35,0,95.15,23062.6
2016,10,19,4,35,0,2016,10,19,4,40,0,97.55,21963.47
2016,10,19,4,40,0,2016,10,19,4,45,0,127.55,24435.74
2016,10,19,4,45,0,2016,10,19,4,50,0,138.31,26344.85
2016,10,19,4,50,0,2016,10,19,4,55,0,108.53,21116.65
2016,10,19,4,55,0,2016,10,19,5,0,0,143.67,25290.88
2016,10,19,5,0,0,2016,10,19,5,5,0,142.56,29028.92
2016,10,19,5,5,0,2016,10,19,5,10,0,272.23,42393.56
2016,10,19,5,10,0,2016,10,19,5,15,0,111.36,21411.93
2016,10,19,5,15,0,2016,10,19,5,20,0,116.78,23222.67
