start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2013,6,25,0,4,34,2013,6,25,0,9,34,180.16,60929.06
2013,6,25,0,9,34,2013,6,25,0,14,34,170.84,59429.9
2013,6,25,0,14,34,2013,6,25,0,19,34,162.64,58840.43
2013,6,25,0,19,34,2013,6,25,0,24,34,173.83,59808.41
2013,6,25,0,24,34,2013,6,25,0,29,34,170.45,60232.62
2013,6,25,0,29,34,2013,6,25,0,34,34,169.22,59586.61
2013,6,25,0,34,34,2013,6,25,0,39,34,180.43,60764.27
2013,6,25,0,39,34,2013,6,25,0,44,34,168.93,58614.77
2013,6,25,0,44,34,2013,6,25,0,49,34,148.38,61456.4
2013,6,25,0,49,34,2013,6,25,0,54,34,158.16,58830.25
2013,6,25,0,54,34,2013,6,25,0,59,34,164.71,59228.55
2013,6,25,0,59,34,2013,6,25,1,4,34,206.55,67373.84
2013,6,25,1,4,34,2013,6,25,1,9,34,221.26,70868.49
2013,6,25,1,9,34,2013,6,25,1,14,34,202.79,63253.6
2013,6,25,1,14,34,2013,6,25,1,19,34,200.63,60042.35
2013,6,25,1,19,34,2013,6,25,1,24,34,176.02,53470.2
2013,6,25,1,24,34,2013,6,25,1,29,34,154.74,52840.98
2013,6,25,1,29,34,2013,6,25,1,34,34,148.28,56416.43
2013,6,25,1,34,34,2013,6,25,1,39,34,156.2,62460.03
2013,6,25,1,39,34,2013,6,25,1,44,34,176.06,67597.23
2013,6,25,1,44,34,2013,6,25,1,49,34,169.37,59077.34
2013,6,25,1,49,34,2013,6,25,1,54,34,179.43,61460.8
2013,6,25,1,54,34,2013,6,25,1,59,34,158.89,58978.63
2013,6,25,1,59,34,2013,6,25,2,4,34,167.82,61133.35
2013,6,25,2,4,34,2013,6,25,2,9,34,161.31,59691.49
2013,6,25,2,9,34,2013,6,25,2,14,34,141.11,57046.15
2013,6,25,2,14,34,2013,6,25,2,19,34,136.03,56476.18
2013,6,25,2,19,34,2013,6,25,2,24,34,130.62,55240.34
2013,6,25,2,24,34,2013,6,25,2,29,34,140.08,55957.82
2013,6,25,2,29,34,2013,6,25,2,34,34,139.87,54802.8
2013,6,25,2,34,34,2013,6,25,2,39,34,139.67,54345.56
2013,6,25,2,39,34,2013,6,25,2,44,34,143.26,50574.99
2013,6,25,2,44,34,2013,6,25,2,49,34,130.89,45410.32
2013,6,25,2,49,34,2013,6,25,2,54,34,123.49,45258.58
2013,6,25,2,54,34,2013,6,25,2,59,34,94.6,45130.63
2013,6,25,2,59,34,2013,6,25,3,4,46,95.51,43715.96
2013,6,25,3,4,46,2013,6,25,3,9,46,111.05,50431.25
2013,6,25,3,9,46,2013,6,25,3,14,46,100.21,50279.24
2013,6,25,3,14,46,2013,6,25,3,19,46,101.23,49902.97
2013,6,25,3,19,46,2013,6,25,3,24,46,108.1,49355.83
2013,6,25,3,24,46,2013,6,25,3,29,46,93.52,48442.69
2013,6,25,3,29,46,2013,6,25,3,34,46,96.35,48921.0
2013,6,25,3,34,46,2013,6,25,3,39,46,92.04,49924.87
2013,6,25,3,39,46,2013,6,25,3,44,46,84.16,48146.3
2013,6,25,3,44,46,2013,6,25,3,49,46,91.47,48498.49
2013,6,25,3,49,46,2013,6,25,3,54,46,88.36,46989.92
2013,6,25,3,54,46,2013,6,25,3,59,46,85.24,46364.22
2013,6,25,3,59,46,2013,6,25,4,4,46,129.35,52060.72
2013,6,25,4,4,46,2013,6,25,4,9,46,104.47,48782.17
2013,6,25,4,9,46,2013,6,25,4,14,46,91.38,48960.12
2013,6,25,4,14,46,2013,6,25,4,19,46,92.53,58627.68
2013,6,25,4,19,46,2013,6,25,4,24,46,77.72,45221.26
2013,6,25,4,24,46,2013,6,25,4,29,46,97.34,48261.33
2013,6,25,4,29,46,2013,6,25,4,34,46,105.42,50026.88
2013,6,25,4,34,46,2013,6,25,4,39,46,76.39,46581.76
2013,6,25,4,39,46,2013,6,25,4,44,46,97.9,49539.48
2013,6,25,4,44,46,2013,6,25,4,49,46,112.57,49280.14
2013,6,25,4,49,46,2013,6,25,4,54,46,91.51,48298.27
2013,6,25,4,54,46,2013,6,25,4,59,46,91.8,48477.39
2013,6,25,4,59,46,2013,6,25,5,4,46,109.94,50358.21
2013,6,25,5,4,46,2013,6,25,5,9,46,110.98,50627.01
2013,6,25,5,9,46,2013,6,25,5,14,46,76.95,46186.08
2013,6,25,5,14,46,2013,6,25,5,19,46,78.98,46384.71
2013,6,25,5,19,46,2013,6,25,5,24,46,78.5,47178.77
2013,6,25,5,24,46,2013,6,25,5,29,46,71.65,45781.82
2013,6,25,5,29,46,2013,6,25,5,34,46,71.33,46768.69
2013,6,25,5,34,46,2013,6,25,5,39,46,71.91,47011.88
2013,6,25,5,39,46,2013,6,25,5,44,46,66.25,46016.23
2013,6,25,5,44,46,2013,6,25,5,49,46,71.35,46071.3
