start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2017,2,1,0,0,0,2017,2,1,2,0,0,310.18,68257.47
2017,2,1,2,0,0,2017,2,1,4,0,0,357.84,72873.64
2017,2,1,4,0,0,2017,2,1,6,0,0,227.96,56491.25
2017,2,1,6,0,0,2017,2,1,8,0,0,225.36,56894.86
2017,2,1,8,0,0,2017,2,1,10,0,0,329.17,69537.75
2017,2,1,10,0,0,2017,2,1,12,0,0,516.02,91022.9
2017,2,1,12,0,0,2017,2,1,14,0,0,489.55,90722.23
2017,2,1,14,0,0,2017,2,1,16,0,0,574.84,99758.29
2017,2,1,16,0,0,2017,2,1,18,0,0,480.83,88704.1
2017,2,1,18,0,0,2017,2,1,20,0,0,430.31,81905.71
2017,2,1,20,0,0,2017,2,1,22,0,0,391.9,77080.89
2017,2,1,22,0,0,2017,2,2,0,0,0,408.23,78972.81
2017,2,2,0,0,0,2017,2,2,2,0,0,330.16,70979.35
2017,2,2,2,0,0,2017,2,2,4,0,0,305.53,66983.14
2017,2,2,4,0,0,2017,2,2,6,0,0,251.42,60777.79
2017,2,2,6,0,0,2017,2,2,8,0,0,293.39,65493.91
2017,2,2,8,0,0,2017,2,2,10,0,0,450.59,83752.76
2017,2,2,10,0,0,2017,2,2,12,0,0,516.3,91416.81
2017,2,2,12,0,0,2017,2,2,14,0,0,534.07,96162.61
2017,2,2,14,0,0,2017,2,2,16,0,0,519.11,96605.63
2017,2,2,16,0,0,2017,2,2,18,0,0,481.35,88356.65
2017,2,2,18,0,0,2017,2,2,20,0,0,442.09,83863.91
2017,2,2,20,0,0,2017,2,2,22,0,0,454.35,82797.58
2017,2,2,22,0,0,2017,2,3,0,0,0,399.69,80136.75
2017,2,3,0,0,0,2017,2,3,2,0,0,342.63,73198.24
2017,2,3,2,0,0,2017,2,3,4,0,0,364.1,74452.1
2017,2,3,4,0,0,2017,2,3,6,0,0,271.33,63531.29
2017,2,3,6,0,0,2017,2,3,8,0,0,267.99,62352.49
2017,2,3,8,0,0,2017,2,3,10,0,0,470.86,85392.94
2017,2,3,10,0,0,2017,2,3,12,0,0,565.22,97970.94
2017,2,3,12,0,0,2017,2,3,14,0,0,485.04,90263.54
2017,2,3,14,0,0,2017,2,3,16,0,0,536.12,96718.73
2017,2,3,16,0,0,2017,2,3,18,0,0,495.37,89815.01
2017,2,3,18,0,0,2017,2,3,20,0,0,449.42,85665.45
2017,2,3,20,0,0,2017,2,3,22,0,0,449.59,84024.52
2017,2,3,22,0,0,2017,2,4,0,0,0,388.83,77980.55
2017,2,4,0,0,0,2017,2,4,2,0,0,436.69,81085.99
2017,2,4,2,0,0,2017,2,4,4,0,0,374.15,75782.64
2017,2,4,4,0,0,2017,2,4,6,0,0,296.86,67587.07
2017,2,4,6,0,0,2017,2,4,8,0,0,288.6,65356.55
2017,2,4,8,0,0,2017,2,4,10,0,0,347.92,70650.73
2017,2,4,10,0,0,2017,2,4,12,0,0,414.03,80777.83
2017,2,4,12,0,0,2017,2,4,14,0,0,459.53,84335.17
2017,2,4,14,0,0,2017,2,4,16,0,0,524.79,93820.56
2017,2,4,16,0,0,2017,2,4,18,0,0,404.67,77493.77
2017,2,4,18,0,0,2017,2,4,20,0,0,328.75,69210.52
2017,2,4,20,0,0,2017,2,4,22,0,0,369.56,73377.69
2017,2,4,22,0,0,2017,2,5,0,0,0,341.83,71048.99
2017,2,5,0,0,0,2017,2,5,2,0,0,367.11,74273.89
2017,2,5,2,0,0,2017,2,5,4,0,0,310.85,67535.86
2017,2,5,4,0,0,2017,2,5,6,0,0,211.86,55452.53
2017,2,5,6,0,0,2017,2,5,8,0,0,205.12,54062.69
2017,2,5,8,0,0,2017,2,5,10,0,0,256.98,59778.23
2017,2,5,10,0,0,2017,2,5,12,0,0,343.16,70730.94
2017,2,5,12,0,0,2017,2,5,14,0,0,393.47,77958.91
2017,2,5,14,0,0,2017,2,5,16,0,0,513.54,92456.75
2017,2,5,16,0,0,2017,2,5,18,0,0,407.83,78987.35
2017,2,5,18,0,0,2017,2,5,20,0,0,422.0,80290.35
2017,2,5,20,0,0,2017,2,5,22,0,0,398.35,79695.7
2017,2,5,22,0,0,2017,2,6,0,0,0,344.84,73568.37
2017,2,6,0,0,0,2017,2,6,2,0,0,343.54,72212.44
2017,2,6,2,0,0,2017,2,6,4,0,0,305.89,68444.72
2017,2,6,4,0,0,2017,2,6,6,0,0,216.81,58450.72
2017,2,6,6,0,0,2017,2,6,8,0,0,190.97,54009.56
2017,2,6,8,0,0,2017,2,6,10,0,0,323.13,68241.84
2017,2,6,10,0,0,2017,2,6,12,0,0,435.16,83627.37
