start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2017,3,19,0,0,0,2017,3,19,0,5,0,566.32,101281.47
2017,3,19,0,5,0,2017,3,19,0,10,0,464.39,95863.96
2017,3,19,0,10,0,2017,3,19,0,15,0,415.13,85849.47
2017,3,19,0,15,0,2017,3,19,0,20,0,389.66,82243.98
2017,3,19,0,20,0,2017,3,19,0,25,0,352.72,75581.1
2017,3,19,0,25,0,2017,3,19,0,30,0,359.3,72992.48
2017,3,19,0,30,0,2017,3,19,0,35,0,391.9,78634.73
2017,3,19,0,35,0,2017,3,19,0,40,0,374.46,77547.44
2017,3,19,0,40,0,2017,3,19,0,45,0,408.23,77988.0
2017,3,19,0,45,0,2017,3,19,0,50,0,391.83,77881.92
2017,3,19,0,50,0,2017,3,19,0,55,0,346.12,73475.68
2017,3,19,0,55,0,2017,3,19,1,0,0,360.79,75942.6
2017,3,19,1,0,0,2017,3,19,1,5,0,591.04,105801.95
2017,3,19,1,5,0,2017,3,19,1,10,0,444.6,88718.48
2017,3,19,1,10,0,2017,3,19,1,15,0,437.5,87693.75
2017,3,19,1,15,0,2017,3,19,1,20,0,450.34,88942.28
2017,3,19,1,20,0,2017,3,19,1,25,0,464.17,90398.43
2017,3,19,1,25,0,2017,3,19,1,30,0,442.47,87648.15
2017,3,19,1,30,0,2017,3,19,1,35,0,566.87,98450.7
2017,3,19,1,35,0,2017,3,19,1,40,0,559.92,101547.16
2017,3,19,1,40,0,2017,3,19,1,45,0,458.53,91725.63
2017,3,19,1,45,0,2017,3,19,1,50,0,588.43,104625.35
2017,3,19,1,50,0,2017,3,19,1,55,0,490.58,91836.59
2017,3,19,1,55,0,2017,3,19,2,0,0,395.03,79646.9
2017,3,19,2,0,0,2017,3,19,2,5,0,589.79,106466.46
2017,3,19,2,5,0,2017,3,19,2,10,0,592.3,101788.71
2017,3,19,2,10,0,2017,3,19,2,15,0,505.41,93581.4
2017,3,19,2,15,0,2017,3,19,2,20,0,515.14,96431.85
2017,3,19,2,20,0,2017,3,19,2,25,0,537.54,96755.41
2017,3,19,2,25,0,2017,3,19,2,30,0,471.79,88751.58
2017,3,19,2,30,0,2017,3,19,2,35,0,410.73,82120.9
2017,3,19,2,35,0,2017,3,19,2,40,0,368.62,77248.55
2017,3,19,2,40,0,2017,3,19,2,45,0,319.39,70261.26
2017,3,19,2,45,0,2017,3,19,2,50,0,303.8,70617.06
2017,3,19,2,50,0,2017,3,19,2,55,0,335.77,69616.49
2017,3,19,2,55,0,2017,3,19,3,0,0,329.63,68409.25
2017,3,19,3,0,0,2017,3,19,3,5,0,546.31,102823.02
2017,3,19,3,5,0,2017,3,19,3,10,0,349.12,76722.14
2017,3,19,3,10,0,2017,3,19,3,15,0,286.39,66215.86
2017,3,19,3,15,0,2017,3,19,3,20,0,371.06,78623.57
2017,3,19,3,20,0,2017,3,19,3,25,0,312.6,73658.54
2017,3,19,3,25,0,2017,3,19,3,30,0,338.68,72446.83
2017,3,19,3,30,0,2017,3,19,3,35,0,365.99,77493.29
2017,3,19,3,35,0,2017,3,19,3,40,0,262.5,67964.56
2017,3,19,3,40,0,2017,3,19,3,45,0,386.18,77213.78
2017,3,19,3,45,0,2017,3,19,3,50,0,447.12,82380.88
2017,3,19,3,50,0,2017,3,19,3,55,0,282.71,64750.15
2017,3,19,3,55,0,2017,3,19,4,0,0,259.72,63916.78
2017,3,19,4,0,0,2017,3,19,4,5,0,531.96,101698.44
2017,3,19,4,5,0,2017,3,19,4,10,0,322.99,76589.69
2017,3,19,4,10,0,2017,3,19,4,15,0,292.28,69178.35
2017,3,19,4,15,0,2017,3,19,4,20,0,323.73,71341.39
2017,3,19,4,20,0,2017,3,19,4,25,0,254.49,65029.03
2017,3,19,4,25,0,2017,3,19,4,30,0,220.61,60655.61
2017,3,19,4,30,0,2017,3,19,4,35,0,302.91,72717.95
2017,3,19,4,35,0,2017,3,19,4,40,0,254.56,68671.26
2017,3,19,4,40,0,2017,3,19,4,45,0,321.6,72159.8
2017,3,19,4,45,0,2017,3,19,4,50,0,313.77,70217.38
2017,3,19,4,50,0,2017,3,19,4,55,0,286.71,67065.87
2017,3,19,4,55,0,2017,3,19,5,0,0,246.83,62406.07
2017,3,19,5,0,0,2017,3,19,5,5,0,368.01,79466.89
2017,3,19,5,5,0,2017,3,19,5,10,0,541.71,99331.07
2017,3,19,5,10,0,2017,3,19,5,15,0,373.38,82238.39
2017,3,19,5,15,0,2017,3,19,5,20,0,326.66,70649.55
2017,3,19,5,20,0,2017,3,19,5,25,0,170.45,53434.86
2017,3,19,5,25,0,2017,3,19,5,30,0,169.96,52862.03
2017,3,19,5,30,0,2017,3,19,5,35,0,285.26,68579.74
2017,3,19,5,35,0,2017,3,19,5,40,0,246.5,63671.93
2017,3,19,5,40,0,2017,3,19,5,45,0,248.92,63700.94
2017,3,19,5,45,0,2017,3,19,5,50,0,173.76,56084.59
2017,3,19,5,50,0,2017,3,19,5,55,0,185.27,58461.29
2017,3,19,5,55,0,2017,3,19,6,0,0,183.64,59057.36
2017,3,19,6,0,0,2017,3,19,6,5,0,302.1,71514.32
2017,3,19,6,5,0,2017,3,19,6,10,0,275.04,64625.84
2017,3,19,6,10,0,2017,3,19,6,15,0,267.92,64314.63
2017,3,19,6,15,0,2017,3,19,6,20,0,283.19,64683.33
2017,3,19,6,20,0,2017,3,19,6,25,0,247.03,61662.88
2017,3,19,6,25,0,2017,3,19,6,30,0,228.79,64580.39
2017,3,19,6,30,0,2017,3,19,6,35,0,279.93,71369.86
2017,3,19,6,35,0,2017,3,19,6,40,0,303.26,69962.91
2017,3,19,6,40,0,2017,3,19,6,45,0,263.95,66965.15
2017,3,19,6,45,0,2017,3,19,6,50,0,265.45,68327.65
2017,3,19,6,50,0,2017,3,19,6,55,0,345.51,73322.86
2017,3,19,6,55,0,2017,3,19,7,0,0,275.77,64074.35
2017,3,19,7,0,0,2017,3,19,7,5,0,349.07,74247.03
2017,3,19,7,5,0,2017,3,19,7,10,0,317.33,70831.43
2017,3,19,7,10,0,2017,3,19,7,15,0,301.98,70151.03
2017,3,19,7,15,0,2017,3,19,7,20,0,362.02,74414.17
2017,3,19,7,20,0,2017,3,19,7,25,0,378.1,80672.56
2017,3,19,7,25,0,2017,3,19,7,30,0,254.97,62083.95
2017,3,19,7,30,0,2017,3,19,7,35,0,265.11,65214.4
2017,3,19,7,35,0,2017,3,19,7,40,0,275.14,66943.15
2017,3,19,7,40,0,2017,3,19,7,45,0,373.62,75675.36
2017,3,19,7,45,0,2017,3,19,7,50,0,256.09,62415.47
2017,3,19,7,50,0,2017,3,19,7,55,0,265.69,63464.05
2017,3,19,7,55,0,2017,3,19,8,0,0,231.76,59104.45
2017,3,19,8,0,0,2017,3,19,8,5,0,277.85,67123.61
2017,3,19,8,5,0,2017,3,19,8,10,0,251.0,65742.78
2017,3,19,8,10,0,2017,3,19,8,15,0,285.56,70440.41
2017,3,19,8,15,0,2017,3,19,8,20,0,305.75,68569.93
2017,3,19,8,20,0,2017,3,19,8,25,0,286.2,70074.89
2017,3,19,8,25,0,2017,3,19,8,30,0,280.04,65121.82
2017,3,19,8,30,0,2017,3,19,8,35,0,313.06,69104.61
2017,3,19,8,35,0,2017,3,19,8,40,0,242.23,60939.91
2017,3,19,8,40,0,2017,3,19,8,45,0,216.43,60824.24
2017,3,19,8,45,0,2017,3,19,8,50,0,270.75,64022.74
2017,3,19,8,50,0,2017,3,19,8,55,0,269.39,64711.12
2017,3,19,8,55,0,2017,3,19,9,0,0,276.02,64909.72
2017,3,19,9,0,0,2017,3,19,9,5,0,386.3,79198.05
2017,3,19,9,5,0,2017,3,19,9,10,0,246.46,63369.67
2017,3,19,9,10,0,2017,3,19,9,15,0,324.44,73030.87
2017,3,19,9,15,0,2017,3,19,9,20,0,288.47,67544.17
2017,3,19,9,20,0,2017,3,19,9,25,0,255.66,62911.42
2017,3,19,9,25,0,2017,3,19,9,30,0,283.69,64692.56
2017,3,19,9,30,0,2017,3,19,9,35,0,247.06,64908.89
2017,3,19,9,35,0,2017,3,19,9,40,0,309.0,69981.09
2017,3,19,9,40,0,2017,3,19,9,45,0,352.54,73327.96
2017,3,19,9,45,0,2017,3,19,9,50,0,409.72,80080.41
2017,3,19,9,50,0,2017,3,19,9,55,0,345.69,75744.39
2017,3,19,9,55,0,2017,3,19,10,0,0,370.65,74023.25
2017,3,19,10,0,0,2017,3,19,10,5,0,376.59,79369.38
2017,3,19,10,5,0,2017,3,19,10,10,0,312.24,70905.64
2017,3,19,10,10,0,2017,3,19,10,15,0,339.69,75130.39
2017,3,19,10,15,0,2017,3,19,10,20,0,306.15,72150.02
2017,3,19,10,20,0,2017,3,19,10,25,0,318.15,69248.29
2017,3,19,10,25,0,2017,3,19,10,30,0,357.47,72726.56
2017,3,19,10,30,0,2017,3,19,10,35,0,343.11,71213.21
2017,3,19,10,35,0,2017,3,19,10,40,0,330.17,69712.07
2017,3,19,10,40,0,2017,3,19,10,45,0,313.51,68981.56
2017,3,19,10,45,0,2017,3,19,10,50,0,356.54,72115.07
2017,3,19,10,50,0,2017,3,19,10,55,0,317.86,66575.63
2017,3,19,10,55,0,2017,3,19,11,0,0,360.52,72589.02
2017,3,19,11,0,0,2017,3,19,11,5,0,410.92,79719.28
2017,3,19,11,5,0,2017,3,19,11,10,0,430.56,80180.67
2017,3,19,11,10,0,2017,3,19,11,15,0,405.6,80219.46
2017,3,19,11,15,0,2017,3,19,11,20,0,456.96,87312.41
2017,3,19,11,20,0,2017,3,19,11,25,0,420.7,78727.96
2017,3,19,11,25,0,2017,3,19,11,30,0,424.04,81244.71
2017,3,19,11,30,0,2017,3,19,11,35,0,442.63,82117.01
2017,3,19,11,35,0,2017,3,19,11,40,0,441.25,81873.85
2017,3,19,11,40,0,2017,3,19,11,45,0,448.82,81253.79
2017,3,19,11,45,0,2017,3,19,11,50,0,406.18,79671.15
2017,3,19,11,50,0,2017,3,19,11,55,0,443.47,84452.43
2017,3,19,11,55,0,2017,3,19,12,0,0,399.67,79640.29
2017,3,19,12,0,0,2017,3,19,12,5,0,407.5,78537.99
2017,3,19,12,5,0,2017,3,19,12,10,0,382.77,77597.37
2017,3,19,12,10,0,2017,3,19,12,15,0,344.47,71749.94
2017,3,19,12,15,0,2017,3,19,12,20,0,382.92,76282.35
2017,3,19,12,20,0,2017,3,19,12,25,0,440.56,85921.54
2017,3,19,12,25,0,2017,3,19,12,30,0,448.97,84576.35
2017,3,19,12,30,0,2017,3,19,12,35,0,432.6,84606.53
2017,3,19,12,35,0,2017,3,19,12,40,0,413.14,79776.09
2017,3,19,12,40,0,2017,3,19,12,45,0,396.14,80557.93
2017,3,19,12,45,0,2017,3,19,12,50,0,475.64,90993.53
2017,3,19,12,50,0,2017,3,19,12,55,0,452.76,83046.05
2017,3,19,12,55,0,2017,3,19,13,0,0,424.02,79677.86
2017,3,19,13,0,0,2017,3,19,13,5,0,553.45,97179.29
2017,3,19,13,5,0,2017,3,19,13,10,0,493.07,90967.84
2017,3,19,13,10,0,2017,3,19,13,15,0,428.92,81947.17
2017,3,19,13,15,0,2017,3,19,13,20,0,468.75,83973.73
2017,3,19,13,20,0,2017,3,19,13,25,0,432.54,80070.39
2017,3,19,13,25,0,2017,3,19,13,30,0,482.94,86125.02
2017,3,19,13,30,0,2017,3,19,13,35,0,488.77,89299.8
2017,3,19,13,35,0,2017,3,19,13,40,0,501.85,89589.96
2017,3,19,13,40,0,2017,3,19,13,45,0,461.63,83265.91
2017,3,19,13,45,0,2017,3,19,13,50,0,552.93,95154.06
2017,3,19,13,50,0,2017,3,19,13,55,0,558.76,92042.19
2017,3,19,13,55,0,2017,3,19,14,0,0,432.91,81060.42
2017,3,19,14,0,0,2017,3,19,14,5,0,510.46,91259.92
2017,3,19,14,5,0,2017,3,19,14,10,0,561.84,96604.19
2017,3,19,14,10,0,2017,3,19,14,15,0,619.14,104342.26
2017,3,19,14,15,0,2017,3,19,14,20,0,577.01,100784.54
2017,3,19,14,20,0,2017,3,19,14,25,0,611.35,104772.52
2017,3,19,14,25,0,2017,3,19,14,30,0,662.84,110371.67
2017,3,19,14,30,0,2017,3,19,14,35,0,654.13,107183.72
2017,3,19,14,35,0,2017,3,19,14,40,0,630.32,106993.11
